park,name,geom,wkt
http://gnis-ld.org/lod/gnis/feature/1872029,Alice Keck Memorial Park,http://gnis-ld.org/geometry/point/gnisf.1872029,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7070798 34.4280528)
http://gnis-ld.org/lod/gnis/feature/1871602,Rice Park,http://gnis-ld.org/geometry/point/gnisf.1871602,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4259965 34.9663668)
http://gnis-ld.org/lod/gnis/feature/1871966,Stevens Park,http://gnis-ld.org/geometry/point/gnisf.1871966,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7348599 34.4486085)
http://gnis-ld.org/lod/gnis/feature/1871797,River Park,http://gnis-ld.org/geometry/point/gnisf.1871797,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4398847 34.6610942)
http://gnis-ld.org/lod/gnis/feature/1871545,Miramonte Park South,http://gnis-ld.org/geometry/point/gnisf.1871545,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4301632 34.9080345)
http://gnis-ld.org/lod/gnis/feature/1871562,Buena Vista Park,http://gnis-ld.org/geometry/point/gnisf.1871562,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4396081 34.9438672)
http://gnis-ld.org/lod/gnis/feature/1871588,Grogan Park,http://gnis-ld.org/geometry/point/gnisf.1871588,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.451831 34.9777555)
http://gnis-ld.org/lod/gnis/feature/1872129,Memorial Park,http://gnis-ld.org/geometry/point/gnisf.1872129,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5254014 34.4058282)
http://gnis-ld.org/lod/gnis/feature/1871596,Miname Community Park,http://gnis-ld.org/geometry/point/gnisf.1871596,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4440528 34.9349784)
http://gnis-ld.org/lod/gnis/feature/1871598,Oakley Park,http://gnis-ld.org/geometry/point/gnisf.1871598,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4512755 34.9652557)
http://gnis-ld.org/lod/gnis/feature/1871609,Santa Barbara County Fairgrounds and Convention Center,http://gnis-ld.org/geometry/point/gnisf.1871609,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4418304 34.9405339)
http://gnis-ld.org/lod/gnis/feature/1871705,Ingram Park,http://gnis-ld.org/geometry/point/gnisf.1871705,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4343287 34.643039)
http://gnis-ld.org/lod/gnis/feature/1871733,Pioneer Park,http://gnis-ld.org/geometry/point/gnisf.1871733,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4434959 34.64915)
http://gnis-ld.org/lod/gnis/feature/1871754,Buellton Park,http://gnis-ld.org/geometry/point/gnisf.1871754,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1929283 34.6188746)
http://gnis-ld.org/lod/gnis/feature/1871786,Los Alamos County Park,http://gnis-ld.org/geometry/point/gnisf.1871786,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.2787669 34.7366488)
http://gnis-ld.org/lod/gnis/feature/1871850,Little Acorn Park,http://gnis-ld.org/geometry/point/gnisf.1871850,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8565273 34.4105516)
http://gnis-ld.org/lod/gnis/feature/1871866,Trigo-Pasado Park,http://gnis-ld.org/geometry/point/gnisf.1871866,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8595828 34.4113848)
